,Caso X,D,L,Beta,Velocidad,Angulo,A,B,Q,Reynolds,TotalAreaInlet,P
107,Caso 26,0.08,1.1,1.0,0.2047500744963703,145,-1908043940.4175074,29774925943336.117,6.423483164712086e-05,-1226.2082882749578,0.00031298876267923,97.42368812385531
108,Caso 26,0.08,1.1,1.0,0.20578146507342748,-145,311529194.5944198,-4862827715474.936,6.457185968976533e-05,-1232.38508541238,0.00031298876267923,82.69266975255985
109,Caso 26,0.08,1.1,1.0,0.20539614542292545,170,-255863442.10764745,3972292963627.23,6.447765280968124e-05,-1230.0774811282645,0.00031298876267923,49.30085083157266
110,Caso 26,0.08,1.1,1.0,0.20503161302340894,-170,-114910390.59275377,1781065774130.3467,6.43305541589159e-05,-1227.8943676386536,0.00031298876267923,47.51139069619633
111,Caso 27,0.08,1.3,1.0,0.20469400165246232,0,-2021872763.0368295,31580209052165.438,6.41908189160609e-05,-1225.8667920412843,0.0003129858587362685,22.561007119896626
112,Caso 27,0.08,1.3,1.0,0.20552014647692157,-120,-45255968.83182583,672475195747.3414,6.44291490216583e-05,-1230.8200992715736,0.00031298876267923,133.52614857061792
113,Caso 27,0.08,1.3,1.0,0.20485000611380105,145,200418867.103584,-3150966084453.4014,6.425212593963073e-05,-1226.806759254056,0.00031298876267923,89.7075000788472
114,Caso 27,0.08,1.3,1.0,0.20510641515169278,-145,-203538405.41312876,3151762649079.475,6.432749976909599e-05,-1228.3423430052455,0.00031298876267923,97.77659566069943
115,Caso 27,0.08,1.3,1.0,0.20537868946824808,170,-119858921.33310597,1856423057339.2363,6.436212777206552e-05,-1229.972940818046,0.00031298876267923,45.59589904195562
116,Caso 27,0.08,1.3,1.0,0.20513931494510143,-170,-56757207.643684715,874192920155.6606,6.435150896478513e-05,-1228.5393734554636,0.00031298876267923,38.20765117946358
117,Caso 2,0.04,1.1,0.2,0.2051341305470643,-120,-67771033.67342202,1029462533817.3998,6.429958054800621e-05,-1228.5083251061117,0.00031298876267923,118.69151729776883
118,Caso 2,0.04,1.1,0.2,0.20502155062855917,145,-43286002.84038253,656724206801.824,6.427966921089824e-05,-1227.8341059171619,0.00031298876267923,72.75962558173795
119,Caso 2,0.04,1.1,0.2,0.20537419935602294,-145,163782359.4280209,-2569184454496.06,6.442185475677335e-05,-1229.9460504110984,0.00031298876267923,76.14718325018595
120,Caso 2,0.04,1.1,0.2,0.20530116286234232,170,82549581.1265161,-1293928249786.9255,6.438301273229304e-05,-1229.5086490860049,0.00031298876267923,28.555848102234204
121,Caso 2,0.04,1.1,0.2,0.20544324058488395,-170,-150445055.27437234,2333879191833.805,6.445822538721943e-05,-1230.3595248739052,0.00031298876267923,28.546088240653074
122,Caso 3,0.04,1.3,0.2,0.21306848091365083,0,236357870.32594892,-3543516976850.674,6.683927962745116e-05,-1277.3151536885352,0.000313621694856675,21.571605771896802
123,Caso 3,0.04,1.3,0.2,0.20525956183122337,-120,-63673583.65355948,964359000286.2823,6.435435306258358e-05,-1229.2595086190997,0.00031298876267923,110.20496204075668
124,Caso 3,0.04,1.3,0.2,0.20484015660074228,145,7267472.057406298,-131866529294.93353,6.419824783517751e-05,-1226.747772440118,0.00031298876267923,74.3531859263676
125,Caso 3,0.04,1.3,0.2,0.2054107839007565,-145,-126476450.18795678,1950781995714.2578,6.44401913845613e-05,-1230.1651481188057,0.00031298876267923,79.38545272486301
126,Caso 3,0.04,1.3,0.2,0.20486466215296503,170,65201529.20553172,-1025884169131.4824,6.42483893230641e-05,-1226.8945314159973,0.00031298876267923,25.75985398355138
127,Caso 3,0.04,1.3,0.2,0.20494728586762292,-170,24809471.719307013,-395265256333.07916,6.417818252595408e-05,-1227.3893487388762,0.00031298876267923,28.062326432261507
128,Caso 4,0.04,0.9,0.6,0.20498788135908771,0,-181279310.44631693,2821065143161.4067,6.43091317597309e-05,-1227.6267721594054,0.0003129858587362686,22.16770089940421
129,Caso 4,0.04,0.9,0.6,0.20486550799748915,-120,-115571039.27423438,1774923962713.6218,6.41753627384805e-05,-1226.8995970139886,0.00031298876267923,121.84149882219424
130,Caso 4,0.04,0.9,0.6,0.20493957585305633,145,-117482659.51221801,1815244716076.457,6.42628179982002e-05,-1227.3431749643976,0.00031298876267923,74.12577129072962
131,Caso 4,0.04,0.9,0.6,0.20514576001018853,-145,12445264.721351333,-213431233454.5048,6.429872104094365e-05,-1228.5779716940613,0.00031298876267923,82.6856995467806
132,Caso 4,0.04,0.9,0.6,0.20513581383789584,170,11674029.789789986,-190592352808.1098,6.429760470060531e-05,-1228.518406006811,0.00031298876267923,29.057715342728606
133,Caso 4,0.04,0.9,0.6,0.20487403065175738,-170,-49097133.11569899,757722536071.2684,6.424116139037162e-05,-1226.9506375292483,0.00031298876267923,32.71581885618109
134,Caso 5,0.04,1.1,0.6,0.20491711419495667,0,-189535592.1290511,2950950181315.3623,6.424207610668073e-05,-1227.2029633727534,0.0003129858587362684,21.702935029908588
135,Caso 5,0.04,1.1,0.6,0.2054252926795906,120,171539024.1582429,-2701167994430.6064,6.443809110470295e-05,-1230.2520383673336,0.00031298876267923,123.16328938378464
136,Caso 5,0.04,1.1,0.6,0.20528497402867957,-120,-1202488.8064463008,-10566042432.985413,6.433834396300534e-05,-1229.4116973165678,0.00031298876267923,128.48280572622227
137,Caso 5,0.04,1.1,0.6,0.2047299828080587,145,-59635897.990495235,912683066100.7496,6.416048882343007e-05,-1226.0879630697352,0.00031298876267923,82.28656577697738
